RKSI  37.462000 126.439000 20
AGGH -09.421000 160.052000 30
AGGL -10.700000 165.800000 10
AGGM -08.320000 157.262000 7
ANAU -00.550000 166.915000 20
AYMD -05.209000 145.788000 10
AYPY -09.444000 147.216000 115
AYWK -03.586000 143.667000 7
BGAM  65.600000-037.633000 164
BGAS  59.983000-045.200000 52
BGAT  67.783000-032.300000 43
BGBW  61.161000-045.428000 108
BGCO  70.743000-022.661000 43
BGDB  74.300000-020.217000 144
BGDH  76.767000-018.667000 36
BGEM  68.700000-052.750000 141
BGFH  62.000000-049.667000 43
BGGD  61.233000-048.100000 115
BGGH  64.191000-051.678000 279
BGHB  66.917000-053.667000 39
BGJH  60.717000-046.050000 105
BGJN  69.233000-051.067000 92
BGKK  65.574000-037.124000 112
BGKT  70.417000-021.967000 135
BGPC  60.050000-043.167000 289
BGSC  70.483000-021.950000 213
BGSF  67.018000-050.694000 161
BGTL  76.533000-068.700000 249
BIAR  65.659000-018.072000 7
BIEG  65.283000-014.401000 75
BIGR  66.533000-018.017000 49
BIHN  64.296000-015.227000 23
BIKF  63.985000-022.606000 167
BIRG  66.406000-015.918000 36
BIRK  64.130000-021.941000 46
BIST  65.058000-022.794000 39
BIVM  63.425000-020.279000 318
BIVO  65.700000-014.817000 10
BIX1  30.402000-088.918000 735
BIX2  30.409000-088.919000 23
BIX3  30.410000-088.919000 23
CTPP  18.567000-072.317000 125
CWAC  48.667000-124.833000 135
CWAE  50.133000-122.950000 2159
CWAF  48.083000-069.550000 16
CWAG  49.917000-055.667000 630
CWAH  45.850000-064.267000 72
CWAJ  42.250000-081.900000 584
CWAN  48.917000-125.550000 89
CWAQ  49.050000-105.483000 2480
CWAR  47.300000-054.000000 52
CWAS  49.483000-123.300000 0
CWAV  51.767000-114.683000 3655
CWAX  51.367000-055.633000 348
CWBA  51.183000-115.567000 4583
CWBE  45.967000-081.483000 643
CWBF  47.617000-057.633000 39
CWBG  51.250000-123.083000 5479
CWBI  45.800000-080.533000 623
CWBJ  61.917000-113.733000 541
CWBK  45.767000-062.683000 7
CWBL  51.750000-099.900000 840
CWBM  55.200000-119.400000 2444
CWBO  50.550000-111.850000 2451
CWBR  66.033000-091.833000 102
CWBT  50.267000-064.233000 36
CWBV  44.817000-062.333000 46
CWBY  49.833000-064.300000 174
CWBZ  45.117000-074.283000 161
CWCA  53.700000-057.033000 46
CWCB  53.817000-128.833000 0
CWCD  52.150000-106.550000 1673
CWCI  47.333000-085.833000 614
CWCJ  48.600000-086.300000 676
CWCL  51.150000-121.500000 3468
CWCM  49.900000-099.350000 1260
CWCN  78.217000-101.050000 39
CWCO  44.500000-080.217000 591
CWCQ  47.000000-065.467000 112
CWCS  45.417000-073.567000 56
CWCT  52.067000-111.467000 2595
CWCU  44.383000-079.783000 968
CWCX  66.000000-117.767000 607
CWDA  50.717000-056.117000 95
CWDB  61.367000-139.050000 2644
CWDC  59.567000-108.483000 1043
CWDE  51.550000-071.117000 1801
CWDF  44.733000-081.283000 597
CWDH  50.233000-057.583000 59
CWDI  48.967000-056.067000 344
CWDJ  50.400000-104.583000 1880
CWDK  50.017000-113.633000 3320
CWDL  58.417000-130.000000 2677
CWDM  50.467000-059.633000 20
CWDN  44.517000-080.017000 597
CWDO  49.683000-054.800000 302
